id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30521752,MO. Bonito Estudio. Centro Histórico.,107522592,Dipaka,,Centro,36.72709,-4.41663,Entire home/apt,42,1,32,2020-08-09,1.40,3,364
30523665,Muy Tranquilo Sector  Centro,229048824,Salvador Luis,,Bailen-Miraflores,36.72413,-4.43447,Entire home/apt,65,3,8,2019-12-31,0.36,2,172
30535333,Centric room next to train/bus station,61668026,Eduardo & Erika,,Cruz De Humilladero,36.71376,-4.43378,Private room,36,1,71,2020-09-10,3.07,2,82
30552309,Centric twin room next to train/bus station.,61668026,Eduardo & Erika,,Cruz De Humilladero,36.71427,-4.43325,Private room,34,1,63,2020-10-10,2.72,2,89
30557947,LU&CIA LA PLAYA PARKING FREE,126386697,Lucía Y Miguel,,Carretera de Cadiz,36.69273,-4.44262,Entire home/apt,86,1,7,2020-07-26,0.35,26,261
30558678,☆☆☆☆☆ Lovely apartment 2BR - Comfy & Cozy,167322375,Aitor,,Centro,36.72636,-4.4236,Entire home/apt,64,6,28,2020-03-17,1.25,1,0
30572553,El apartamento de Mar(,229353728,Mar,,Cruz De Humilladero,36.71011,-4.4522,Entire home/apt,200,2,0,,,1,180
30573259,Central and beautiful blue Loft MALAGA,27638288,Carmen,,Centro,36.72075,-4.42266,Entire home/apt,37,1,98,2020-10-25,4.47,2,179
30573628,Nice and central pink Loft MALAGA,27638288,Carmen,,Centro,36.72053,-4.42257,Entire home/apt,29,1,115,2020-10-16,5.31,2,179
30600604,Cubo's Villa Puerto de la Torre,117253760,Cubo'S Holiday Homes,,Puerto de la Torre,36.73098,-4.48116,Entire home/apt,126,1,1,2020-09-10,0.59,13,327
30617862,Centro histórico apartamento 3 dormitorios (3iint),17585280,Pablo Y Marisa,,Centro,36.72391,-4.41827,Entire home/apt,51,2,16,2020-07-26,0.79,10,363
30688686,Habitación luminosa,142437213,Tatiana,,Bailen-Miraflores,36.72946,-4.43843,Private room,20,1,49,2019-10-27,2.26,2,88
30691374,Habitación pequeña,142437213,Tatiana,,Bailen-Miraflores,36.72767,-4.43776,Private room,20,1,55,2019-11-24,2.41,2,88
30761156,"Modern, Light DUPLEX Apartment, Central Malaga",230178076,Jo,,Centro,36.72279,-4.4278,Entire home/apt,81,3,32,2020-08-30,1.45,1,364
30781196,Moderno Loft junto al Museo Thyssen,230302662,Apartamentos,,Centro,36.72082,-4.42166,Entire home/apt,222,1,0,,,4,309
30781752,Moderno apartamento junto al Museo Thyssen,230302662,Apartamentos,,Centro,36.72239,-4.42395,Entire home/apt,222,1,0,,,4,307
30781871,Moderno Apartamento junto al Museo Thyssen,230302662,Apartamentos,,Centro,36.72144,-4.4219,Entire home/apt,222,1,0,,,4,247
30781996,Dúplex junto al Museo Thyssen,230302662,Apartamentos,,Centro,36.72112,-4.42395,Entire home/apt,242,1,0,,,4,246
30786532,casa maribel,230336535,Casa Maribel,,Carretera de Cadiz,36.70138,-4.4404,Private room,36,1,1,2019-02-03,0.05,1,365
30795267,Malaga City centre (close to Catedral & Alcazaba),225446428,Wabitrip Com,,Centro,36.7208,-4.419,Entire home/apt,88,2,37,2020-10-13,1.77,8,277
30818236,Luminosidad y vistas al mar en el corazón de Málaga,226512005,Ramon,,Centro,36.72517,-4.40653,Entire home/apt,126,2,13,2020-02-27,0.60,1,74
30818472,BEST LOCATION+MINI TERRACE,11778619,Arantxa,,Centro,36.72235,-4.41839,Entire home/apt,37,5,35,2020-08-31,1.56,7,248
30840899,Chacón,3298879,Guillermo,,Carretera de Cadiz,36.70731,-4.42914,Entire home/apt,77,2,3,2019-08-17,0.13,12,72
30871620,Solaga - Merced II,126429738,Steffen,,Centro,36.72453,-4.41783,Private room,118,1,2,2019-04-29,0.09,56,346
30883396,Apartment with parking near the beach in El Palo,230811947,Yolanda,,Este,36.71864,-4.35388,Entire home/apt,80,3,10,2019-12-19,0.46,1,62
30922463,Apartamento Centro Histórico II,91857467,Silvia,,Centro,36.71852,-4.4236,Entire home/apt,83,2,8,2020-01-02,0.40,3,61
30953121,Solaga - Merced I,126429738,Steffen,,Centro,36.72277,-4.41978,Private room,118,1,2,2020-02-13,0.13,56,364
30954618,Del Parque Flats Alamos,152016953,"Del Parque Flats, S.L.",,Centro,36.72403,-4.41942,Entire home/apt,62,1,14,2020-03-13,0.65,35,350
30958146,Malaga Centrico Picasso,219835321,Carla,,Centro,36.72185,-4.41791,Entire home/apt,91,2,23,2020-03-11,1.19,3,261
30969647,Loft independiente en Casa Leticia Málaga,200819772,Leticia,,Carretera de Cadiz,36.70369,-4.4428,Entire home/apt,65,2,5,2019-12-08,0.33,3,180
30973661,La Casa del Druida - Canela,208615937,Eduardo Vladimir,,Carretera de Cadiz,36.6986,-4.44438,Entire home/apt,27,1,58,2020-10-12,2.57,5,57
30984769,"Duplex penthouse in the old town ""MALAGUESE""",101418638,Margarita Homely Málaga,,Centro,36.71914,-4.42364,Entire home/apt,129,1,3,2019-06-11,0.16,13,244
31007118,Estudio estándar - Studio standard,42484320,Nono,,Centro,36.71651,-4.42421,Entire home/apt,81,1,1,2020-07-04,0.25,3,365
31011196,Palacete de la Constitución,228835060,Malaga Planners,,Centro,36.72081,-4.42237,Entire home/apt,54,2,3,2019-08-23,0.14,12,63
31011199,Sol de Málaga,228835060,Malaga Planners,,Centro,36.71875,-4.42484,Entire home/apt,40,2,5,2020-08-01,0.36,12,117
31015081,La Merced de Homely Málaga,101418638,Margarita Homely Málaga,,Centro,36.72383,-4.41579,Entire home/apt,34,1,13,2020-08-18,0.60,13,234
